customer_id,name,phone,email,region,plan_tier,contract_type,payment_method,tenure_months,monthly_charges,total_charges,call_minutes_m1,call_minutes_m2,call_minutes_m3,data_gb_m1,data_gb_m2,data_gb_m3,recharge_count_m1,recharge_count_m2,recharge_count_m3,support_calls_m1,support_calls_m2,support_calls_m3,churn
CUST-10000,Customer 1,+91-98765-10000,user1@example.com,West,Prepaid Unlimited,Month-to-Month,Electronic Check,42,1160.44,49748.16,340.5,458.1,616.3,39.9,53.7,72.2,1,1,2,4,1,1,1
CUST-10001,Customer 2,+91-98765-10001,user2@example.com,Central,Prepaid Basic,Month-to-Month,Auto-Debit,19,1490.15,30770.13,263.8,363.3,500.3,36.3,50.0,68.8,1,1,2,2,0,0,1
CUST-10002,Customer 3,+91-98765-10002,user3@example.com,East,Prepaid Unlimited,Month-to-Month,Electronic Check,17,1137.01,18182.61,460.3,568.3,701.6,15.5,19.1,23.6,1,2,3,6,2,1,1
CUST-10003,Customer 4,+91-98765-10003,user4@example.com,Central,Postpaid Standard,Month-to-Month,Mailed Check,33,651.55,19982.71,400.5,516.8,666.9,41.3,53.3,68.8,1,1,2,6,1,1,1
CUST-10004,Customer 5,+91-98765-10004,user5@example.com,Central,Prepaid Basic,Month-to-Month,Mailed Check,49,1105.46,58022.35,79.7,96.2,116.1,19.9,24.0,29.0,1,1,1,3,1,1,1
CUST-10005,Customer 6,+91-98765-10005,user6@example.com,South,Prepaid Unlimited,Month-to-Month,Mailed Check,56,1141.59,66242.21,401.5,485.5,587.0,4.7,5.6,6.8,2,2,3,7,2,2,1
CUST-10006,Customer 7,+91-98765-10006,user7@example.com,East,Prepaid Unlimited,Month-to-Month,Auto-Debit,63,745.07,43997.05,192.2,185.8,179.6,76.4,73.9,71.4,2,2,2,2,2,1,0
CUST-10007,Customer 8,+91-98765-10007,user8@example.com,East,Prepaid Unlimited,Month-to-Month,Mailed Check,3,320.26,916.46,73.0,95.0,123.7,39.1,50.9,66.3,1,2,3,7,3,2,1
CUST-10008,Customer 9,+91-98765-10008,user9@example.com,East,Prepaid Basic,Two Year,Auto-Debit,49,1142.84,59366.55,760.6,785.9,812.1,41.2,42.6,44.0,2,2,3,2,2,1,0
CUST-10009,Customer 10,+91-98765-10009,user10@example.com,Central,Postpaid Standard,Month-to-Month,Electronic Check,55,325.04,17712.26,339.0,335.9,332.8,55.9,55.4,54.9,4,4,4,3,2,1,0
CUST-10010,Customer 11,+91-98765-10010,user11@example.com,West,Postpaid Premium,One Year,Mailed Check,26,1056.43,28404.03,413.3,409.9,406.6,96.6,95.8,95.0,5,5,5,2,2,2,0
CUST-10011,Customer 12,+91-98765-10011,user12@example.com,East,Postpaid Premium,Month-to-Month,Electronic Check,52,495.34,24821.91,52.4,90.9,157.7,20.4,35.5,61.5,1,1,3,6,3,2,1
CUST-10012,Customer 13,+91-98765-10012,user13@example.com,Central,Postpaid Standard,One Year,UPI/Credit Card,7,977.72,6681.47,260.6,261.1,261.6,67.2,67.4,67.5,2,2,3,1,0,0,0
CUST-10013,Customer 14,+91-98765-10013,user14@example.com,South,Prepaid Basic,One Year,Electronic Check,46,903.7,45650.0,724.2,755.9,789.0,10.2,10.6,11.1,3,3,4,2,1,0,0
CUST-10014,Customer 15,+91-98765-10014,user15@example.com,West,Postpaid Standard,Month-to-Month,UPI/Credit Card,46,315.22,13768.2,500.9,522.1,544.2,19.1,20.0,20.8,1,1,2,4,3,2,0
CUST-10015,Customer 16,+91-98765-10015,user16@example.com,South,Prepaid Basic,Two Year,Electronic Check,16,734.44,11766.21,964.4,927.8,892.6,36.3,34.9,33.6,3,3,3,2,1,1,0
CUST-10016,Customer 17,+91-98765-10016,user17@example.com,West,Prepaid Basic,Month-to-Month,Auto-Debit,24,1020.31,26174.15,260.5,345.2,457.5,32.0,42.4,56.2,2,3,4,4,0,0,1
CUST-10017,Customer 18,+91-98765-10017,user18@example.com,Central,Prepaid Unlimited,Month-to-Month,Electronic Check,61,1317.33,76166.08,142.4,220.6,341.8,32.8,50.9,78.8,1,1,1,7,3,2,1
CUST-10018,Customer 19,+91-98765-10018,user19@example.com,North,Prepaid Unlimited,One Year,Auto-Debit,54,1365.37,72479.72,394.6,403.6,412.8,33.9,34.7,35.5,3,3,4,3,3,2,0
CUST-10019,Customer 20,+91-98765-10019,user20@example.com,West,Postpaid Standard,One Year,Auto-Debit,62,879.62,55791.77,757.8,749.6,741.5,39.8,39.3,38.9,5,5,5,3,2,1,0
